case,Left-Nucleus-Accumbens,Right-Nucleus-Accumbens,Left-HypoThal-noMB,Right-HypoThal-noMB,Left-Fornix,Right-Fornix,Left-MammillaryBody,Right-MammillaryBody,Left-Basal-Forebrain,Right-Basal-Forebrain,Left-SeptalNuc,Right-SeptalNuc
sub-670213PC_ses-1_T1w,0.8204,0.8255,0.8258,0.8142,0.7502,0.7504,0.7147,0.7596,0.8051,0.8019,0.7482,0.7715
sub-670213PC_ses-2_T1w,0.7664,0.7081,0.8040,0.7853,0.6962,0.7202,0.7267,0.8072,0.7703,0.7589,0.7477,0.7717
sub-670213PC_ses-3_T1w,0.8057,0.7030,0.8151,0.8115,0.7250,0.7460,0.7520,0.7733,0.7965,0.8033,0.7644,0.7815
sub-670806JPP_ses-1_T1w,0.8264,0.8449,0.8154,0.8223,0.7664,0.7788,0.7993,0.8069,0.8179,0.8306,0.7622,0.7468
sub-670806JPP_ses-2_T1w,0.8256,0.8362,0.8107,0.8237,0.7819,0.7758,0.7927,0.7805,0.8272,0.8383,0.7600,0.7711
sub-670806JPP_ses-3_T1w,0.7636,0.8071,0.8008,0.7963,0.7211,0.7379,0.7238,0.7524,0.7915,0.8039,0.7535,0.7660
sub-671019NL_ses-1_T1w,0.8174,0.8424,0.8151,0.8165,0.7887,0.7718,0.8123,0.8059,0.8202,0.8243,0.7502,0.7805
sub-671019NL_ses-2_T1w,0.7993,0.8176,0.7904,0.8046,0.7202,0.7397,0.7340,0.7766,0.7723,0.7867,0.7129,0.7526
sub-671019NL_ses-3_T1w,0.8070,0.8641,0.8280,0.8201,0.7710,0.7900,0.7801,0.8222,0.8274,0.8281,0.7405,0.7604
sub-680518AH_ses-1_T1w,0.8166,0.8465,0.8179,0.8278,0.8027,0.7894,0.7607,0.8157,0.7933,0.8302,0.7368,0.7994
sub-680518AH_ses-2_T1w,0.6354,0.8005,0.7820,0.7870,0.7313,0.7161,0.7046,0.7535,0.7145,0.7910,0.7372,0.7232
sub-680917AG_ses-1_T1w,0.8192,0.8337,0.8151,0.8375,0.6641,0.6255,0.7382,0.6531,0.8090,0.8131,0.7102,0.7163
sub-680917AG_ses-2_T1w,0.8007,0.8457,0.8187,0.8199,0.6577,0.5814,0.7488,0.6769,0.8078,0.8244,0.7095,0.6928
sub-680917AG_ses-3_T1w,0.7537,0.8009,0.7193,0.8099,0.5894,0.0000,0.5447,0.5498,0.7870,0.7987,0.6530,0.0000
sub-680930WD_ses-1_T1w,0.8030,0.8335,0.8156,0.8319,0.7474,0.7722,0.7752,0.7749,0.8173,0.8338,0.7900,0.7919
sub-680930WD_ses-2_T1w,0.7656,0.8185,0.8199,0.8295,0.7396,0.7618,0.7539,0.7861,0.8105,0.8330,0.7812,0.7758
sub-680930WD_ses-3_T1w,0.7224,0.8088,0.8104,0.8033,0.7041,0.7242,0.7652,0.7737,0.7928,0.8053,0.7703,0.7662
sub-690408PM_ses-1_T1w,0.8584,0.8600,0.8347,0.8434,0.7846,0.8124,0.7483,0.7624,0.8277,0.8333,0.7812,0.7906
sub-690408PM_ses-2_T1w,0.7581,0.7983,0.7798,0.8136,0.7174,0.7679,0.6165,0.7382,0.7507,0.7750,0.7622,0.7812
sub-690510ND_ses-1_T1w,0.8364,0.8469,0.8067,0.8179,0.7681,0.7566,0.7922,0.7950,0.8308,0.8418,0.7627,0.7463
sub-690510ND_ses-2_T1w,0.8258,0.8497,0.8151,0.8020,0.7565,0.7611,0.8069,0.7725,0.7963,0.8226,0.7475,0.7705
sub-690510ND_ses-3_T1w,0.8266,0.8569,0.8199,0.8094,0.7625,0.7518,0.8031,0.7519,0.8095,0.8365,0.7849,0.7798
sub-690526CR_ses-1_T1w,0.8238,0.8370,0.8144,0.8157,0.7412,0.7669,0.7322,0.7968,0.7807,0.8221,0.7611,0.7720
sub-690526CR_ses-2_T1w,0.7981,0.8149,0.7921,0.7731,0.6992,0.7085,0.7146,0.7617,0.7422,0.7971,0.7406,0.7457
sub-690526CR_ses-3_T1w,0.8196,0.8272,0.8056,0.7828,0.7418,0.7627,0.7642,0.7858,0.8003,0.8308,0.7625,0.7556
sub-691229DB_ses-1_T1w,0.8393,0.8596,0.8191,0.8245,0.7872,0.7587,0.8175,0.8045,0.8200,0.8310,0.7618,0.7728
sub-691229DB_ses-2_T1w,0.8715,0.8561,0.8358,0.8383,0.8001,0.7901,0.7851,0.8130,0.8312,0.8447,0.7922,0.7889
sub-691229DB_ses-3_T1w,0.7755,0.7623,0.7750,0.7892,0.7059,0.6493,0.7469,0.7559,0.7303,0.7535,0.7432,0.7592
sub-710509KM_ses-1_T1w,0.8264,0.8195,0.8102,0.8044,0.7854,0.7816,0.7937,0.7737,0.8281,0.8307,0.7653,0.7625
sub-710509KM_ses-2_T1w,0.8175,0.8135,0.8106,0.7958,0.7584,0.7690,0.7780,0.7873,0.7827,0.8161,0.7558,0.7552
sub-720501GL_ses-1_T1w,0.8451,0.8507,0.8311,0.8405,0.7785,0.7927,0.8407,0.8291,0.8150,0.8237,0.7691,0.7804
sub-720501GL_ses-2_T1w,0.7776,0.8219,0.7973,0.8081,0.7593,0.7571,0.7539,0.7926,0.7622,0.7926,0.7655,0.7635
sub-720501GL_ses-3_T1w,0.7206,0.7953,0.7792,0.7967,0.7239,0.7183,0.7416,0.7454,0.6770,0.7657,0.7368,0.7621
sub-731001LC_ses-1_T1w,0.8318,0.8573,0.8183,0.8218,0.7694,0.7836,0.8006,0.8238,0.7754,0.8227,0.7854,0.7953
sub-731001LC_ses-2_T1w,0.7475,0.8001,0.7750,0.7895,0.7091,0.6923,0.7774,0.7872,0.7282,0.7803,0.7136,0.7268
sub-731001LC_ses-3_T1w,0.7451,0.8186,0.7797,0.7740,0.6951,0.7102,0.7492,0.7696,0.6622,0.7218,0.7270,0.7600
sub-761229PN_ses-1_T1w,0.8148,0.8507,0.8087,0.8140,0.7879,0.7852,0.8056,0.7676,0.8138,0.8387,0.7461,0.7375
sub-761229PN_ses-2_T1w,0.7467,0.8269,0.7918,0.7975,0.7377,0.7265,0.7311,0.7629,0.7879,0.8244,0.7429,0.7394
sub-761229PN_ses-3_T1w,0.7424,0.8457,0.7818,0.7990,0.7383,0.7356,0.7414,0.7692,0.7800,0.8257,0.7798,0.7397
sub-810305BB_ses-1_T1w,0.8522,0.8598,0.8310,0.8385,0.7800,0.7906,0.7917,0.7809,0.8257,0.8238,0.7782,0.7891
sub-810305BB_ses-2_T1w,0.8038,0.8366,0.8110,0.8200,0.7641,0.7386,0.7729,0.7261,0.7908,0.8089,0.7814,0.7724
sub-810305BB_ses-3_T1w,0.8254,0.8449,0.8148,0.8134,0.7574,0.7492,0.7685,0.8065,0.7929,0.8276,0.7567,0.7871
sub-840909AD_ses-1_T1w,0.8481,0.8484,0.8392,0.8219,0.7771,0.7365,0.8259,0.8024,0.8364,0.8502,0.7850,0.7750
sub-840909AD_ses-2_T1w,0.7543,0.8096,0.8128,0.8172,0.7378,0.7291,0.7829,0.7936,0.8152,0.8199,0.7414,0.7730
sub-840909AD_ses-3_T1w,0.8379,0.8514,0.8314,0.8326,0.7430,0.7240,0.8477,0.8297,0.8389,0.8258,0.7669,0.7803
sub-851225EM_ses-1_T1w,0.8253,0.8380,0.8305,0.8359,0.7755,0.7823,0.7663,0.7761,0.8238,0.8433,0.7359,0.7593
sub-851225EM_ses-2_T1w,0.8265,0.8450,0.8248,0.8262,0.7730,0.7886,0.7497,0.7882,0.8265,0.8382,0.7507,0.7759
